id;code_bail;duration_bail;type_bail;signature_date;first_rent_date;destination_local;id_opci;status
1;bypassing Fish composite;well-modulated compelling Crescent;BAILLOGEMENTNU;2021-05-24;2021-05-25;initiative;8268;BAILWAITINGFORMULAIRE
2;Fantastic Granite Ball;Directives;BAILLOGEMENTNU;2021-05-24;2021-05-25;Awesome Checking Account;26385;BAILWAITINGLOCATAIRE
3;withdrawal Computer compress;card Multi-layered;BAILLOGEMENTNU;2021-05-24;2021-05-25;feed withdrawal withdrawal;73550;CLOSED
4;Buckinghamshire solid state Virgin Islands, British;Developer North Dakota;BAILLOGEMENTNU;2021-05-25;2021-05-24;Computers online;6334;CLOSED
5;Louisiana Avon;intuitive open-source;BAILLOGEMENTMEUBLE;2021-05-24;2021-05-24;Extensions Yuan Renminbi;36579;CANCELLED
6;enterprise District black;firmware Awesome Soft Bacon;BAILLOGEMENTNU;2021-05-25;2021-05-24;circuit copying;32858;CLOSED
7;Som Pennsylvania blue;cross-media New Taiwan Dollar card;BAILLOGEMENTNU;2021-05-25;2021-05-24;Salad leverage;6855;BAILWAITINGFORMULAIRE
8;transform;Sports Credit Card Account;BAILLOGEMENTNU;2021-05-25;2021-05-24;pricing structure;511;CANCELLED
9;Samoa;Borders;BAILLOGEMENTMEUBLE;2021-05-24;2021-05-25;Group payment Tuvalu;46609;BAILWAITINGLOTS
10;withdrawal incubate Outdoors;Pitcairn Islands Spur;BAILLOGEMENTNU;2021-05-24;2021-05-24;Specialist;25320;BAILWAITINGFORMULAIRE
