id;reference;amount_exluding_tax;tva;ttc;bill_date;reglement_method;bill_status
1;Georgia;70637;9945;37458;2021-05-24;CHEQUE;PAYE
2;Bedfordshire;4038;37298;32950;2021-05-24;LETTREDECHANGE;PAYE
3;Unbranded Wooden Pizza;84496;51068;84882;2021-05-24;LETTREDECHANGE;ENATTENTEDEPAYEMENT
4;Facilitator Baby multimedia;14821;95809;21609;2021-05-24;LETTREDECHANGE;ENCOURSDEVALIDATION
5;synthesize Bacon invoice;87965;98709;75519;2021-05-24;CHEQUE;ENCOURSDEVALIDATION
6;District magenta;66693;70854;6346;2021-05-25;VIREMENT;PAYE
7;THX Divide;86525;53781;96592;2021-05-24;LETTREDECHANGE;ENATTENTEDEPAYEMENT
8;benchmark;50678;18339;66713;2021-05-25;CHEQUE;PAYE
9;Balboa US Dollar blue SMTP;32430;31540;18376;2021-05-25;ESPECE;VALIDE
10;online firewall Sports;94013;61113;44262;2021-05-25;ESPECE;PAYE
