id;status_charge;charge_date;designation;reference;amount_charge
1;invoice auxiliary;2021-05-25;Assurance Licensed;Planner CSS transmitting;47633
2;Fantastic Steel Chips non-volatile;2021-05-24;Credit Card Account Orchestrator;hack;52458
3;Orchestrator;2021-05-24;Plain;Minnesota circuit Squares;71122
4;value-added;2021-05-25;value-added bus quantifying;Balboa US Dollar;53581
5;Credit Card Account Awesome Soft Shirt;2021-05-24;CSS Jordanian Dinar Jamaican Dollar;Beauty Moroccan Dirham;43822
6;cross-platform;2021-05-24;Borders turquoise neural;Colorado;27012
7;circuit;2021-05-25;Netherlands Antillian Guilder Practical index;parsing hack Generic;33398
8;Plastic;2021-05-24;South Dakota;solid state product;72860
9;Via brand;2021-05-24;Rubber index Oklahoma;Senior indigo;54640
10;granular;2021-05-24;Malagasy Ariary Analyst;Consultant Compatible Multi-layered;89198
