id;description;start_date;end_date;cost_price;deadline;asset_code
1;Incredible Grocery;2021-05-25;2021-05-24;49945;2021-05-24;57062
2;deposit needs-based Kids;2021-05-25;2021-05-24;93300;2021-05-24;15297
3;deposit Refined Nepal;2021-05-24;2021-05-25;92147;2021-05-24;73512
4;didactic;2021-05-24;2021-05-24;46302;2021-05-25;3401
5;open-source;2021-05-24;2021-05-24;53258;2021-05-25;48730
6;Assimilated Personal Loan Account Unbranded;2021-05-24;2021-05-24;75815;2021-05-24;62046
7;Markets Marketing;2021-05-25;2021-05-24;85529;2021-05-25;74420
8;solution methodical;2021-05-24;2021-05-25;19912;2021-05-24;16843
9;ADP Multi-tiered iterate;2021-05-25;2021-05-24;81204;2021-05-25;50962
10;Timor-Leste;2021-05-25;2021-05-24;91015;2021-05-24;17376
