id;nominal_value;taux;mode;capital;start_date;end_date;refund_amount;start_excluded;month_end;end_excluded;rate_value;coupon_decimal_number;coupon_first_date;coupon_last_date;refund_first_date;refund_decimal_number;refund_last_date
1;25445;90477;Pants program input;30411;2021-05-25;2021-05-25;52450;true;false;true;87192;24897;2021-05-24;2021-05-24;2021-05-25;62055;2021-05-25
2;90889;91702;Avon Cross-group;45599;2021-05-24;2021-05-25;10229;true;false;true;30216;69355;2021-05-25;2021-05-24;2021-05-24;77017;2021-05-25
3;30070;53783;Convertible Marks deploy feed;70432;2021-05-24;2021-05-24;75199;false;true;true;11519;39579;2021-05-24;2021-05-24;2021-05-25;37953;2021-05-24
4;97112;92043;TCP PNG;72307;2021-05-25;2021-05-24;98068;true;false;false;47887;8010;2021-05-24;2021-05-24;2021-05-25;81771;2021-05-25
5;34557;22239;6th generation;79226;2021-05-25;2021-05-24;90381;true;true;true;85130;84501;2021-05-24;2021-05-24;2021-05-24;20840;2021-05-24
6;48905;89030;productize Frozen;64356;2021-05-24;2021-05-25;84496;true;true;true;31643;39388;2021-05-25;2021-05-24;2021-05-24;74001;2021-05-24
7;16052;79357;transmitter;71430;2021-05-24;2021-05-24;84493;true;true;true;73198;83406;2021-05-24;2021-05-25;2021-05-24;25657;2021-05-24
8;26014;32721;customer loyalty Small Rubber Table Berkshire;74185;2021-05-25;2021-05-25;63101;true;true;false;17528;68283;2021-05-24;2021-05-25;2021-05-24;83454;2021-05-25
9;88908;72350;out-of-the-box tangible Configuration;56340;2021-05-24;2021-05-25;2406;true;true;true;6556;60370;2021-05-24;2021-05-24;2021-05-24;29106;2021-05-25
10;91589;73039;Implemented;65088;2021-05-24;2021-05-24;74280;true;false;false;99363;51907;2021-05-24;2021-05-24;2021-05-25;58775;2021-05-24
